product_category_path,product_department
Men>Footwear>Trainers,FOOTWEAR
Home>Food preparation>Storage,K&D
Men>Footwear>Formal shoes,FOOTWEAR
Kids>Nursery & Prams>Buggies & Travel,KIDS
Men>Underwear>Briefs,LINGERIE
Kids>Nursery & Prams>Blankets,KIDS
Kids>Nursery Prams>Nursery Accessories,KIDS
Home>Gifts>Pet accessories,DEC HOME
Women>Blouses/Shirts>Long sleeves,RTW
Lingerie>Swimwear>Swimsuits,LINGERIE
Home>Dining>Cups/Mugs/Saucers,K&D
Women>Jeans>Skinny,RTW
Home>Cookware/Bakeware>Baking Trays,K&D
Home>Christmas Decorations>Figurines/Table pieces,DEC HOME
Home>Christmas Decorations>Wreathes/Door decorations/Trees,DEC HOME
Lingerie>Swimwear>Bikini briefs,LINGERIE
Kids>Boys>Shorts,KIDS
Lingerie>Nightwear>Pyjama pants,LINGERIE
Women>Footwear>Heels,FOOTWEAR
Men>Underwear>Boxer shorts,LINGERIE
Men>Outerwear>Leather/Suede jackets/Coats,RTW
Lingerie>Suspender belts>,LINGERIE
Home>Cookware/Bakeware>Saucepans/Frying pans,K&D
Women>Jeans>Boyfriend,RTW
Beauty>Hair Care & Styling>Mens Hair Care,BEAUTY
Christmas>Christmas Gifts>Novelty Gifts,DEC HOME
Home>Food preparation>Chopping Boards,K&D
Home>Food preparation>Utensils,K&D
Women>Tops/T-Shirts>Vests,RTW
"Outdoor>Garden Buildings & Storage>Gazebos, Arbours & Arches",FURNITURE
Home>Outdoor>Lighting,FURNITURE
Men>Sportswear/sports accessories>Ski-wear,RTW
Sports & Leisure>Mens Clothing>Accessories,ACCESSORIES
Christmas>Christmas Food & Drink>Puddings Chocolates & Sweets,K&D
Men>Shoes>Flat Sandals,FOOTWEAR
Women>Clothing>Lingerie,LINGERIE
Home>Small appliances>Kettles,K&D
Kids>Nursery & Prams>Feeding & Changing,KIDS
Men>Knitwear>Jumpers,RTW
Home>Home Office Furniture>Console Tables,FURNITURE
Christmas>Christmas Food & Drink>Drink,K&D
Kids>Boys Footwear>Casual shoes,KIDS
Home>Garden Accessories>Planters Pots & Ornaments,DEC HOME
Women>Sportswear/Sports accessories>Ski-wear,RTW
Kids>Baby>Shoes,KIDS
Home>Garden Furniture>Seats Tables & Loungers,FURNITURE
